"","x"
"1007_s_at",-0.366238558168
"1053_at",0.355913159735765
"117_at",-0.0960650007248223
"121_at",0.0963621528320502
"1255_g_at",0.245229701537398
"1294_at",-0.345849597996438
"1316_at",0.00893817490232696
"1320_at",-0.220550764205266
"1405_i_at",0.122822645820867
"1431_at",-0.14983988636391
"1438_at",0.098254967258713
"1487_at",0.170063471965731
"1494_f_at",-0.00491378123418595
"1552256_a_at",0.547085796946218
"1552257_a_at",0.277158183840863
"1552258_at",-0.0982466793990406
"1552261_at",0.412331159710118
"1552263_at",-0.0267539448390961
"1552264_a_at",0.106987145478717
"1552266_at",0.154487047466159
"1552269_at",0.165148824904263
"1552271_at",0.0844934059547366
"1552272_a_at",0.320861537223948
"1552274_at",0.00257466652420479
"1552275_s_at",-0.0298347791193372
"1552276_a_at",0.0621747342999361
"1552277_a_at",0.160774989601356
"1552278_a_at",0.234307415399652
"1552279_a_at",0.128996430390738
"1552280_at",-0.0318585126563029
"1552281_at",0.0597681769403584
"1552283_s_at",-0.0918721505094746
"1552286_at",0.2259681583985
"1552287_s_at",0.142906160239464
"1552288_at",0.286294047478441
"1552289_a_at",0.582695831818327
"1552291_at",-0.167088063463618
"1552293_at",-0.134183382280828
"1552295_a_at",-0.177492767842828
"1552296_at",-0.00417224376349257
"1552299_at",-0.316141371066373
"1552301_a_at",-0.232411092484072
"1552302_at",0.13439510032355
"1552303_a_at",-0.0281923501653365
"1552304_at",-0.0663982210345564
"1552306_at",0.158780363849621
"1552307_a_at",-0.207549323784269
"1552309_a_at",-0.496264626971633
"1552310_at",-0.0579949050892958
"1552311_a_at",0.0416375378558165
"1552312_a_at",0.0986716719876863
"1552314_a_at",-0.172532517501176
"1552315_at",0.212863086327551
"1552316_a_at",0.109597704009368
"1552318_at",-0.0789406523807292
"1552319_a_at",-0.0255237976386695
"1552320_a_at",-0.0522871268018799
"1552321_a_at",0.227289135356001
"1552322_at",-0.18780554880433
"1552323_s_at",-0.0727750555158231
"1552325_at",-0.209690210736815
"1552326_a_at",-0.28838381072244
"1552327_at",0.196565493944704
"1552329_at",-0.249115970615444
"1552330_at",0.0443422527538857
"1552332_at",0.0476760791640025
"1552334_at",-0.209561047345939
"1552335_at",-0.0469231829171823
"1552337_s_at",0.0712444307287035
"1552338_at",0.192944917103671
"1552340_at",0.131870219368
"1552343_s_at",0.108300307090445
"1552344_s_at",0.30158261300163
"1552347_at",-0.0464655386789623
"1552348_at",0.239750615567242
"1552349_a_at",0.1946024853764
"1552354_at",0.330200955509913
"1552355_s_at",0.0231439632590682
"1552359_at",0.217507681606119
"1552360_a_at",-0.150170866785391
"1552362_a_at",0.0382826014975173
"1552364_s_at",-0.0513550985193234
"1552365_at",-0.696632603684054
"1552367_a_at",-0.204099909576092
"1552368_at",-0.0402237045851412
"1552370_at",-0.213146610686487
"1552372_at",-0.198122619706993
"1552373_s_at",-0.0861065862387211
"1552375_at",-0.413752429684426
"1552377_s_at",0.031227509747243
"1552378_s_at",-0.413803205329149
"1552379_at",-0.0872462382943417
"1552381_at",-0.235908886610495
"1552383_at",-0.125666212798038
"1552384_a_at",0.10662245141951
"1552386_at",0.0559067367541193
"1552388_at",0.0666554415435794
"1552389_at",-0.307543283462762
"1552390_a_at",0.02049085897126
"1552391_at",0.0252505427366665
"1552393_at",0.0314953454599745
"1552394_a_at",0.0515959375350312
"1552395_at",0.0402960728296815
"1552396_at",0.107738156489984
"1552398_a_at",-0.0545822013264043
"1552399_a_at",0.0590688868345124
"1552400_a_at",0.0661562159103442
"1552401_a_at",-0.0818211360719603
"1552402_at",-0.0810880119604764
"1552405_at",0.0719787132514185
"1552408_at",0.133402358751257
"1552409_a_at",0.199619986556886
"1552410_at",0.177082799537225
"1552411_at",0.158277579214073
"1552412_a_at",0.265640804602754
"1552414_at",0.0436015027202883
"1552415_a_at",0.0526551315169712
